conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,true_label
1768176200143544064,Thu Mar 14 07:23:51 +0000 2024,179,Sembilan orang petani sawit Saloloang Penajam Paser Utara yang menghalangi pembangunan bandara VVIP di IKN yang sempat ditangkap Polda Kaltim kini dibebaskan dan hanya dikenai Wajib Lapor. #ikn #nusantara #ibukotanusantara https://t.co/KXWpleVA2C,1768176200143544064,https://pbs.twimg.com/ext_tw_video_thumb/1768165396962807808/pu/img/3YxGcdK20QHjviMx.jpg,,in,,2,9,101,https://x.com/Metro_TV/status/1768176200143544339,57261519,Metro_TV,netral
1777909005396087040,Wed Apr 10 03:58:33 +0000 2024,93,Inilah Jalan Sumbu Kebangsaan Sisi Barat IKN yang tidak lama lagi akan di aspal. #ibukotanusantara #infrastrukturikn #ikn https://t.co/ozNChL03m9,1777909005396087040,https://pbs.twimg.com/ext_tw_video_thumb/1777908521906110465/pu/img/P4pLNeP8bqDAeku9.jpg,,in,"DKI Jakarta, Indonesia",1,9,15,https://x.com/zy_zy_its_me/status/1777909005396086938,1530146266822258944,zy_zy_its_me,netral
1784922580492902912,Mon Apr 29 12:28:00 +0000 2024,0,Jokowi Teken UU DKJ Jakarta Bersiap Lepas Status Ibu Kota. Gimana menurut Terbiters? #dkj #daerahkhususibukotajakarta #ibukotanusantara #ikn #jokowi #presidenjokowi #harianterbitcom https://t.co/ZlDzu9KbmJ,1784922580492902912,https://pbs.twimg.com/ext_tw_video_thumb/1784922514965307392/pu/img/63HsxvVJDpKZABFM.jpg,,in,"Kav BRI No 3E, Meruya, Jakbar",0,0,0,https://x.com/TERBITharian/status/1784922580492902631,1498468598876372992,TERBITharian,netral
1780461518343308032,Wed Apr 17 05:01:20 +0000 2024,0,Upacara Kemerdekaan 17 Agustus 2024 Siap Digelar di IKN #ikn #ibukotanegara #nusantara #ibukotanusantara #kaltim #17agustus #upacarakemerdekaan #jokowi #presidenjokowi https://t.co/2CvwrwkWNi,1780461518343308032,https://pbs.twimg.com/ext_tw_video_thumb/1780461378798792704/pu/img/ME0gIHSawMmQXkek.jpg,,in,,0,0,0,https://x.com/panggung2024/status/1780461518343307425,1430013618683219968,panggung2024,netral
1768114101065268992,Thu Mar 14 03:17:06 +0000 2024,2,Ternyata bangun pusat riset dulu. #ibukotanusantara #ikn #stanforduniversity #Kalimantan #bambangsusantono #kepalaoikn https://t.co/XydNxo2HH9,1768114101065268992,https://pbs.twimg.com/ext_tw_video_thumb/1768114021923008512/pu/img/W1ienU-WzwiScf_O.jpg,,in,"Madiun, Indonesia",0,0,0,https://x.com/Neumedia_id/status/1768114101065269266,1711607245698712064,Neumedia_id,netral
1772086263098523904,Mon Mar 25 02:21:03 +0000 2024,9,Kepala Otorita (IKN) Bambang Susanto menyebut pemerintah berencana melakukan uji coba konsep mobil terbang. Selain transportasi canggih ia mengungkapkan konsep tiang listrik penunjuk arah yang bisa menjawab ketika ditanya manusia. #IKN #IbuKotaNusantara #mobilterbang https://t.co/1y9JZTPyzJ,1772086263098523904,https://pbs.twimg.com/media/GJe3DhVbQAAml4z.jpg,,in,Palembang,0,1,3,https://x.com/indibizsumsel/status/1772086263098524107,1676068578733469952,indibizsumsel,netral
1788474169551994880,Thu May 09 07:40:44 +0000 2024,15,Pemerintah beri ganti rugi masyarakat yang terdampak pembangunan IKN salah satunya dengan relokasi #IbuKotaNusantara https://t.co/XsPJiMQb8H,1788474169551994880,https://pbs.twimg.com/media/GNHvxZSaQAEzWw8.jpg,,in,,0,0,0,https://x.com/vrinaav/status/1788474169551995290,992742817,vrinaav,netral
1763054676977594112,Thu Feb 29 04:12:45 +0000 2024,7,Baru-baru ini NASA mengunggah penampakan Ibu Kota Nusantara (IKN) dari satelitnya. Hutan di Kalimantan bagian timur itu telah alami perubahan pesat. Konstruksi direncanakan akan selesai pada 2045. Bagaimana menurut ta' daeng? #IKN #ibukotanusantara #kaltim #detikcom https://t.co/2DlQH1qm9p,1763054676977594112,https://pbs.twimg.com/ext_tw_video_thumb/1763054606639071232/pu/img/qJJ8Qjpc-7U_xLOk.jpg,,in,"Makassar, Sulsel ",0,1,3,https://x.com/detiksulsel/status/1763054676977594492,1476525140141752064,detiksulsel,negatif
1768521429887397888,Fri Mar 15 06:15:41 +0000 2024,0,Rezim tuli! Bagusnya diapain? #ibukotanusantara #ikn #rezimjokowi #investasi #nasibrakyat https://t.co/vALsIjJe00,1768521429887397888,https://pbs.twimg.com/ext_tw_video_thumb/1768520855905271808/pu/img/mOY_Pq-jrGRclmwN.jpg,,in,Jakarta,0,0,0,https://x.com/_independen/status/1768521429887398156,1195635571189673984,_independen,positif
1792548832422813952,Mon May 20 13:32:00 +0000 2024,0,27.000 aplikasi pemerintahan? Ngomong-ngomong data kita aman nggak tuh yaa? Saksikan #QNAMETROTV PR ANAS BELUM TUNTAS di link https://t.co/BwGC9WnpRt #kemenpanrb #asn #aparatursipilnegara #azwaranas #pranasbelumtuntas #ikn #ibukotanusantara https://t.co/lwSJGdXJWu,1792548832422813952,https://pbs.twimg.com/ext_tw_video_thumb/1792488451910344704/pu/img/8TLNQzpMyvSTXP6K.jpg,,in,,0,3,1,https://x.com/Metro_TV/status/1792548832422814080,57261519,Metro_TV,negatif
